row.names,asv.id,q2.id,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
ASV915,ASV915,710c98d210fccc8d32dfd45162d08a1d,0.719004511,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Rhodopila,s__uncultured_bacterium,ASV915
ASV916,ASV916,7114492be932f0b33227e0a3bbefd428,0.999999979,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,,ASV916
ASV917,ASV917,71373898ccc75048d7af8e18a9022005,0.894585456,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__marine_metagenome,ASV917
ASV918,ASV918,7138e198b50b1c22c3660cf185b92017,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV918
ASV919,ASV919,717e0b66632360316f743474441bd022,0.999999989,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,,ASV919
ASV920,ASV920,71b64b16c512cd50a8dee64e5fc77a3e,0.999999409,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,,ASV920
ASV921,ASV921,71c227d8f7176467e8f68228e9ab583f,0.938777777,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__Pelagicoccus,s__uncultured_marine,ASV921
ASV922,ASV922,71c5b2aa15f157e07efe0090af6ef2e4,0.871204515,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_Flavobacteriales,ASV922
ASV923,ASV923,71d0c6bb085d5adf0551f65c4348f6d0,0.847776768,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_Cyanobium,ASV923
ASV924,ASV924,71d2350a06111c3df3e859c9fd6916c1,0.984880167,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__uncultured,,ASV924
ASV925,ASV925,71d6155cfea2c948cade0da699032a38,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV925
ASV926,ASV926,71f60ea2aae8168c1cbd2a56b237ada2,0.944957942,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__bacterium_enrichment,ASV926
ASV927,ASV927,7224665cb0a6856fb2252d9a7f85feec,0.999999773,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,,ASV927
ASV928,ASV928,7248d8a7c369be466b3eb42b41acd252,0.980792012,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__OM43_clade,,ASV928
ASV929,ASV929,7272120c88e25ef2a4d7d75b20c3678b,0.858734072,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__uncultured,g__uncultured,s__unidentified_marine,ASV929
ASV930,ASV930,727efd74708be276c963beabf925f3bb,0.996437946,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,,ASV930
ASV931,ASV931,7292705d810611295cbf89f7df0ce6ae,0.773469049,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__Candidatus_Puniceispirillum,s__uncultured_bacterium,ASV931
ASV932,ASV932,72e0250cfbe09ed35408f062c1687ac9,1,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,,,ASV932
ASV933,ASV933,72e1b5546522c04883a8c8dfb5cb4389,0.795684473,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ia,,ASV933
ASV934,ASV934,7302871949d0e4c869c1c5b7879397c9,0.979921682,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__marine_metagenome,ASV934
ASV935,ASV935,73201c50355998e42b1e94c8fd9eaaaf,0.876865196,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,,ASV935
ASV936,ASV936,736c25a5b4c03986c9a5e8eb53398844,0.99999972,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,,ASV936
ASV937,ASV937,737feb5e4f1fb60f782c03bd378c3a90,0.999999898,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__uncultured,s__bacterium_enrichment,ASV937
ASV938,ASV938,73800edfc378b48a9bee0b3548e42bce,0.984704352,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__SCGC_AAA164-E04,s__bacterium_SH5-3,ASV938
ASV939,ASV939,739544cffc888cf938c81f7a6ef748fd,0.731233599,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,s__marine_metagenome,ASV939
ASV940,ASV940,7397c0dc9add47d7864499b4577e9f63,0.999927432,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,,ASV940
ASV941,ASV941,73b02aeb6f6fc557aed1a64533ef52b5,0.971361396,d__Bacteria,p__Planctomycetota,c__Pla3_lineage,o__Pla3_lineage,f__Pla3_lineage,g__Pla3_lineage,s__uncultured_Planctomycetaceae,ASV941
ASV942,ASV942,73f83d686030d3666a2b73c767b9cd5f,0.902464177,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__SCGC_AAA164-E04,s__bacterium_SH5-3,ASV942
ASV943,ASV943,740cc642fbcb1ba9c2e19a562d4c3c88,0.895209651,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriae,f__Acidobacteriae,g__Paludibaculum,,ASV943
ASV944,ASV944,740fbe1e4c84abc6a5059c4dc3ce33ea,0.999999969,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,,ASV944
ASV945,ASV945,7425ceae531c7b6e155bc877d055aa16,0.999577985,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Gimesiaceae,g__uncultured,,ASV945
ASV946,ASV946,74384a2c2600f042b88574f650cfb785,0.782707924,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__Candidatus_Planktophila,ASV946
ASV947,ASV947,744c8a02d0916a4fa1d236aa0b0ff470,0.837842524,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__Phycisphaera,s__uncultured_organism,ASV947
ASV948,ASV948,7459ae43bfb73b93deb524877f21cac0,0.813732536,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_bacterium,ASV948
ASV949,ASV949,745ce6fca481ca34d2a5fabff7c4eca7,0.999970879,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,,ASV949
ASV950,ASV950,745ef4df60b4a836beeb1aaae8b14b8d,0.999833658,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured,s__freshwater_metagenome,ASV950
ASV951,ASV951,747cb3b974d2cfba44d9edec4dfb5f4e,0.90894288,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__marine_metagenome,ASV951
ASV952,ASV952,748e332b26f45aa6fc31a12b4f301296,0.987967334,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__uncultured,s__marine_metagenome,ASV952
ASV953,ASV953,74b4a28236f841d279ae696ff37cc811,0.716427888,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV953
ASV954,ASV954,74e17cd0abcd0c9e7ff61ab0bb38a8f3,0.928921181,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__uncultured,s__uncultured_bacterium,ASV954
ASV955,ASV955,751e13773bdc2aeba976e7a8b885d6c3,0.889557216,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__unidentified_marine,ASV955
ASV956,ASV956,7523588baff075b2deaa0b8e6b815f6d,0.998560071,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,,ASV956
ASV957,ASV957,757811c16b4374d3019b7a714f827631,0.952124026,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_III,g__Clade_III,s__alpha_proteobacterium,ASV957
ASV958,ASV958,75ad0d936d57a9ee3442fbb99ffeaf14,0.790777176,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),s__marine_metagenome,ASV958
ASV959,ASV959,75b69aaee9103f942ea6775fd366382c,0.80719697,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__marine_group,,ASV959
ASV960,ASV960,75dda06ecdaa7122fd7aec1b2c609928,0.999999906,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,,ASV960
ASV961,ASV961,761c03d47313af4af66110c9c8ad25ef,0.999999894,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Balneola,,ASV961
ASV962,ASV962,76450d961735c59a11c954d7eb380e6e,0.999977278,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),s__unidentified_marine,ASV962
ASV963,ASV963,76855fafa720b5f6ddf58c88c7d08e7d,0.998197007,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,,ASV963
ASV964,ASV964,76af3b13f4b9d20001225f37df000175,0.976000355,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,,ASV964
ASV965,ASV965,76bf11e8684e55fa2fe019be78a8f61a,0.986742386,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,s__uncultured_bacterium,ASV965
ASV966,ASV966,76c020c01898af1a5d3bc989725b5371,0.997939265,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_marine,ASV966
ASV967,ASV967,76cf2f703e99c6a411f5f00225f89bd2,0.988656428,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV967
ASV968,ASV968,76e6cd003fc3a8b96bee43ec557f76a3,0.958678656,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV968
ASV969,ASV969,76f1a9359effa85ba1dc6b3fdb858d93,1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,,ASV969
ASV970,ASV970,7708a57a3600f16a32bba901f7b795b0,0.847390886,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_marine,ASV970
ASV971,ASV971,77206e7b1bd1ecaf5433445744c6d157,0.738807646,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Peredibacter,s__uncultured_organism,ASV971
ASV972,ASV972,77865009502db27b8259715b25a79e4a,0.999828418,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,,ASV972
ASV973,ASV973,779bec3cbec937bdf1d9c4b4022d34ef,0.93046778,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_bacterium,ASV973
ASV974,ASV974,77c7e3c50cd0cca0afd29df5d7b18485,0.968498749,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__uncultured_Verrucomicrobiales,ASV974
ASV975,ASV975,77f92b1bb1fe8f1ed26a8552bb73c6cf,0.946601761,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),s__uncultured_Fibrobacteres/Acidobacteria,ASV975
ASV976,ASV976,7804085633f2ed72366dda108878fca5,0.999999982,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV976
ASV977,ASV977,78482907b32573b6105dadc8e8c15c4a,0.822844958,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__Legionella_donaldsonii,ASV977
ASV978,ASV978,78750871cdc8171c6fd42f5d4b28bac8,0.990669293,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured,s__uncultured_Roseiflexus,ASV978
ASV979,ASV979,78968438bdafd212b2ec1186cc979088,0.999999881,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,,ASV979
ASV980,ASV980,78aab959092d930390677c8103350367,0.999999971,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__marine_metagenome,ASV980
ASV981,ASV981,7940e228bbf87a19b7e0ad286cc4e0a4,0.72851984,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_cyanobacterium,ASV981
ASV982,ASV982,797db469ef2945d52e2950e3aa3663ab,0.74547576,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Luminiphilus,s__uncultured_gamma,ASV982
ASV983,ASV983,7992cc17f180ddc6bc2b8e07340369e8,0.826560506,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,,ASV983
ASV984,ASV984,79c038aa1a54d1e0ad2b49e0aabf113d,1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__NS10_marine_group,,ASV984
ASV985,ASV985,79c61ff88684413f13a93b02e471b64f,1,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,,,ASV985
ASV986,ASV986,7a0a6f4fda590cc23155db60aac80edc,0.999999999,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV986
ASV987,ASV987,7a1bfd865302789f85b0d57962231fae,0.999826442,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Sva0996_marine_group,s__uncultured_Verrucomicrobiales,ASV987
ASV988,ASV988,7a57887aa5f719999886e50c15a98c66,0.999933857,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Sphaerospermopsis_BCCUSP55,,ASV988
ASV989,ASV989,7a5bbfaddf71213abb2faaf28cc55a9a,0.996647812,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__marine_metagenome,ASV989
ASV990,ASV990,7a94e7cfac390f59db62a72908b92cdc,0.979389077,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA10353_marine_group,f__UBA10353_marine_group,g__UBA10353_marine_group,s__unidentified_marine,ASV990
ASV991,ASV991,7aac343620e99d037b70fe8701ee52cf,0.999815321,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__uncultured,s__uncultured_marine,ASV991
ASV992,ASV992,7ac49a2524771cf05baebe62e1c067b6,0.999999526,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV992
ASV993,ASV993,7af2ff1209cba71f3367b8c8aa423fcd,0.827164037,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,,ASV993
ASV994,ASV994,7b5342532ef4558c46d21c108969c09f,1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,ASV994
ASV995,ASV995,7b5edc41d44802ab8a2df2d5185c1480,0.710644183,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,s__uncultured_Glaciecola,ASV995
ASV996,ASV996,7b8c9485920866489cdb572705c0fc8a,0.999999313,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__PeM15,g__PeM15,,ASV996
ASV997,ASV997,7bd5c6e6c24aba4d6a3e6f47f8154fc7,0.999860477,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__uncultured,s__uncultured_marine,ASV997
ASV998,ASV998,7c2c016d3c4a80700c63ae5578e23d48,0.945955227,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__unidentified_marine,ASV998
ASV999,ASV999,7c2e2357dfe7aa2500f65ec647179298,1,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,,,ASV999
ASV1000,ASV1000,7c548b723153f75e07bf1971dfb3f96d,0.999999988,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV1000
ASV1001,ASV1001,7c877de97cb021264f0d751ccd9f3270,0.887549185,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__PS1_clade,g__PS1_clade,s__marine_metagenome,ASV1001
ASV1002,ASV1002,7cd6cbc3ce5b462e6b764e6fc0080e67,0.923142406,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__OM43_clade,s__Methylophilales_bacterium,ASV1002
ASV1003,ASV1003,7d6160cab7ffae982ee38006350b6b3e,0.999387211,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__uncultured_marine,ASV1003
ASV1004,ASV1004,7d6e5b8fa215ac4474b1a35ccbec8a06,0.999998563,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,,,ASV1004
ASV1005,ASV1005,7d742d4f374b32227885dbce190fd8cd,0.887366445,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter_cosmopolitanus,ASV1005
ASV1006,ASV1006,7d75b14b211b17481d1efa24d23c9807,0.995383361,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Magnetospiraceae,g__uncultured,s__uncultured_Rhodospirillaceae,ASV1006
ASV1007,ASV1007,7e0ddac115ad7897258c618e75efd495,0.953009375,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__NS11-12_marine_group,s__uncultured_marine,ASV1007
ASV1008,ASV1008,7e42c367ba5f48f8c3481bfa72735b2e,0.980000886,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS2b_marine_group,,ASV1008
ASV1009,ASV1009,7e54d96e9c3990ee0126ff0fb36a06db,0.84631048,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Rubripirellula,s__uncultured_marine,ASV1009
ASV1010,ASV1010,7e80795e880eb8a7bdcebf9804912ccf,0.937318885,d__Bacteria,,,,,,,ASV1010
ASV1011,ASV1011,7e8aebdd6437f4b0871be3a277db37c9,0.984770509,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__bacterium_enrichment,ASV1011
ASV1012,ASV1012,7ebf51cf49b7ff63a161a49c1329fc90,0.887770462,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter_cosmopolitanus,ASV1012
ASV1013,ASV1013,7ed7dc6a09563db02fcdaebafbda7ff7,0.997163001,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__uncultured,g__uncultured,s__uncultured_bacterium,ASV1013
ASV1014,ASV1014,7ef1be1054f877e54d034851dcdc96aa,0.999999408,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV1014
ASV1015,ASV1015,7f01036d706a4e0546f6fa1e94f82053,0.862323962,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,s__uncultured_organism,ASV1015
ASV1016,ASV1016,7f0dbd46989991bae8c887800fa9e194,0.999999999,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__KI89A_clade,g__KI89A_clade,,ASV1016
ASV1017,ASV1017,7f86acff912d20bd8de151bcba23dd0a,1,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__MB11C04_marine_group,,ASV1017
ASV1018,ASV1018,7fd2ae1805bd98b1d1e9d87896e34528,0.900971703,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ia,,ASV1018
ASV1019,ASV1019,7fdd2bef1a83c188d4563b225eeadf1e,0.998916432,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,ASV1019
ASV1020,ASV1020,802c24cc876229ed54b15711e861f4ca,0.999999999,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Microcystaceae,g__Microcystis_PCC-7914,,ASV1020
ASV1021,ASV1021,803ef0bf5af81ca6bd0576153e008687,0.999932621,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,,ASV1021
ASV1022,ASV1022,8081d1e14e6e7838be9185527066953f,0.999999936,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV1022
ASV1023,ASV1023,809e5e68602b751a7d1ddc07fbbd8570,0.99995667,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__uncultured,g__uncultured,s__unidentified_marine,ASV1023
ASV1024,ASV1024,80b475c2684f8ed593135dc20e0d7b4b,0.965546498,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,,ASV1024
ASV1025,ASV1025,80c70b76c7a0404a3d30a9b603325585,0.852851702,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__uncultured_Flavobacterium,ASV1025
ASV1026,ASV1026,80d26de899e39dc53cbd9d3033b7a0b8,0.931966544,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,s__uncultured_bacterium,ASV1026
ASV1027,ASV1027,80d6d316973b9d0188d0103c22628a28,0.999978536,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),s__unidentified_marine,ASV1027
ASV1028,ASV1028,80db8bbced1fcb1e51bf6504e6b1fa36,0.999571567,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV1028
ASV1029,ASV1029,80ffed5a91ba238b42633f9ada379ede,0.999997394,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,,ASV1029
ASV1030,ASV1030,8107b96d48cc290ba87c4352f110d82d,0.904470426,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__uncultured_Oceanibaculum,ASV1030
ASV1031,ASV1031,8127ce75b061c97f36cb5137033d233b,0.919775907,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__NS11-12_marine_group,s__uncultured_Bacteroidetes,ASV1031
ASV1032,ASV1032,812e609a72a817a03a3c0e4cbc6a3876,0.99999626,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,s__bacterium_SH1-10,ASV1032
ASV1033,ASV1033,8173f1230ef9217590eba775cfe7e052,0.999970642,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,,ASV1033
ASV1034,ASV1034,81fefa4337946bb56e61f2da862e4731,0.999999979,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__marine_metagenome,ASV1034
ASV1035,ASV1035,820230866a13d3d475af2970eeec7925,0.986606049,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__uncultured_Cytophagales,ASV1035
ASV1036,ASV1036,82154ee00a9ae093d4d5dea865bec67b,0.999999327,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__SAR92_clade,,ASV1036
ASV1037,ASV1037,8223da8189c3db32760f1762905e8dfe,0.999997787,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,,,,,ASV1037
